2025-06-29 08:20:39 [INFO]: Loading Overrides...
2025-06-29 08:20:39 [INFO]: Loading World Types...
2025-06-29 08:20:39 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-06-29 08:20:39 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-06-29 08:20:39 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-06-29 08:20:39 [INFO]: Loading Defaults...
2025-06-29 08:20:39 [INFO]: Loading Custom Worlds...
2025-06-29 08:20:39 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-06-29 08:20:39 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-06-29 08:20:39 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2025-06-29 08:20:54 [INFO]: Database QUEUE:Queue configured and loaded!
2025-06-29 08:20:54 [INFO]: Database PLAYERS:Players configured and loaded!
2025-06-29 08:20:54 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-06-29 08:20:54 [INFO]: Database COOLDOWN:world configured and loaded!
2025-06-29 08:20:54 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2025-06-29 08:20:54 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2025-06-29 08:20:54 [INFO]: Database COOLDOWN:spawn configured and loaded!
2025-06-29 08:20:54 [INFO]: Database COOLDOWN:lobby configured and loaded!
2025-06-29 08:20:54 [INFO]: Database COOLDOWN:Arena configured and loaded!
2025-06-29 08:20:56 [INFO]: Attempting to queue up some more safe locations...
2025-06-29 08:21:00 [WARNING]: Seems like the world `lobby` does not have a `WorldType` declared. Please add/fix this in the config.yml file! This world will be treated as an overworld! If this world is a nether world, configure it to NETHER (example: `- lobby: NETHER`
2025-06-29 08:21:00 [INFO]: Queue position generated: id= default_lobby, database_ID= 175, location= x: 82, y: 4, z: -785, world: lobby
2025-06-29 08:21:01 [INFO]: Queue position generated: id= default_lobby, database_ID= 176, location= x: 246, y: 4, z: 436, world: lobby
2025-06-29 08:21:03 [INFO]: Queue position generated: id= default_lobby, database_ID= 177, location= x: -592, y: 4, z: -729, world: lobby
2025-06-29 08:21:04 [INFO]: Queue position generated: id= default_lobby, database_ID= 178, location= x: -357, y: 4, z: 936, world: lobby
2025-06-29 08:21:05 [INFO]: Queue position generated: id= default_lobby, database_ID= 179, location= x: -47, y: 4, z: -284, world: lobby
2025-06-29 08:21:06 [INFO]: Queue position generated: id= default_lobby, database_ID= 180, location= x: 459, y: 4, z: -721, world: lobby
2025-06-29 08:21:08 [INFO]: Queue position generated: id= default_lobby, database_ID= 181, location= x: 239, y: 4, z: 610, world: lobby
2025-06-29 08:21:09 [INFO]: Queue position generated: id= default_lobby, database_ID= 182, location= x: -560, y: 4, z: 330, world: lobby
2025-06-29 08:21:11 [INFO]: Queue position generated: id= default_lobby, database_ID= 183, location= x: 593, y: 4, z: -39, world: lobby
2025-06-29 08:21:12 [INFO]: Queue position generated: id= default_lobby, database_ID= 184, location= x: 247, y: 4, z: -133, world: lobby
2025-06-29 08:21:13 [INFO]: Queue position generated: id= default_lobby, database_ID= 185, location= x: -370, y: 4, z: -707, world: lobby
2025-06-29 08:21:14 [INFO]: Queue position generated: id= default_lobby, database_ID= 186, location= x: 248, y: 4, z: 414, world: lobby
2025-06-29 08:21:16 [INFO]: Queue position generated: id= default_lobby, database_ID= 187, location= x: 138, y: 4, z: 425, world: lobby
2025-06-29 08:21:17 [INFO]: Queue position generated: id= default_lobby, database_ID= 188, location= x: 430, y: 4, z: 880, world: lobby
2025-06-29 08:21:18 [INFO]: Queue position generated: id= default_lobby, database_ID= 189, location= x: -575, y: 4, z: 787, world: lobby
2025-06-29 08:21:19 [INFO]: Queue position generated: id= default_lobby, database_ID= 190, location= x: -466, y: 4, z: -64, world: lobby
2025-06-29 08:21:20 [INFO]: Queue position generated: id= default_lobby, database_ID= 191, location= x: 55, y: 4, z: 757, world: lobby
2025-06-29 08:21:22 [INFO]: Queue position generated: id= default_lobby, database_ID= 192, location= x: 794, y: 4, z: 129, world: lobby
2025-06-29 08:21:23 [INFO]: Queue position generated: id= default_lobby, database_ID= 193, location= x: -554, y: 4, z: -81, world: lobby
2025-06-29 08:21:24 [INFO]: Queue position generated: id= default_lobby, database_ID= 194, location= x: 889, y: 4, z: -970, world: lobby
2025-06-29 08:21:25 [INFO]: Queue position generated: id= default_lobby, database_ID= 195, location= x: -83, y: 4, z: 216, world: lobby
2025-06-29 08:21:27 [INFO]: Queue position generated: id= default_lobby, database_ID= 196, location= x: -643, y: 4, z: -188, world: lobby
2025-06-29 08:21:30 [INFO]: Queue position generated: id= default_lobby, database_ID= 197, location= x: -764, y: 4, z: -894, world: lobby
2025-06-29 08:21:31 [INFO]: Queue position generated: id= default_lobby, database_ID= 198, location= x: 628, y: 4, z: -935, world: lobby
2025-06-29 08:21:32 [INFO]: Queue position generated: id= default_lobby, database_ID= 199, location= x: -522, y: 4, z: 505, world: lobby
2025-06-29 08:21:33 [INFO]: Queue position generated: id= default_lobby, database_ID= 200, location= x: 844, y: 4, z: -352, world: lobby
2025-06-29 08:21:35 [INFO]: Queue position generated: id= default_lobby, database_ID= 201, location= x: -25, y: 4, z: 478, world: lobby
